SampleID	Date	SampleType	Location	Rep	Plot	GrowthCondtion	Genotype	SorghumType	Plate	GrowthCondtion_Genotype	Genotype_GrowthCondtion	Variety	Variety_GrowthCondtion	GrowthCondtion_Variety	Race	Population	Class	Race_info
CC0402LG1R0718177039	71817	Root	CentralCity	Rep4	Plot2	LowN	G1	BTx623	Plate82	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0501FG1R0718175908	71817	Root	CentralCity	Rep5	Plot1	HighN	G1	BTx623	Plate86	HighN_G1	G1_HighN	Grain	Grain_HighN	HighN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0501LG1R0718175910	71817	Root	CentralCity	Rep5	Plot1	LowN	G1	BTx623	Plate86	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0602FG1R0718175913	71817	Root	CentralCity	Rep6	Plot2	HighN	G1	BTx623	Plate82	HighN_G1	G1_HighN	Grain	Grain_HighN	HighN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0602LG1R0718175916	71817	Root	CentralCity	Rep6	Plot2	LowN	G1	BTx623	Plate84	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0702FG1R0718177195	71817	Root	CentralCity	Rep7	Plot2	HighN	G1	BTx623	Plate88	HighN_G1	G1_HighN	Grain	Grain_HighN	HighN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0702LG1R0718177171	71817	Root	CentralCity	Rep7	Plot2	LowN	G1	BTx623	Plate86	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0802LG1R0718175922	71817	Root	CentralCity	Rep8	Plot2	LowN	G1	BTx623	Plate79	LowN_G1	G1_LowN	Grain	Grain_LowN	LowN_Grain	Kafir	Not_applicable	Sensitive	Kafir
CC0102FG3R0718176933	71817	Root	CentralCity	Rep1	Plot2	HighN	G3	Btx642	Plate85	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0102LG3R0718176912	71817	Root	CentralCity	Rep1	Plot2	LowN	G3	Btx642	Plate80	LowN_G3	G3_LowN	Grain	Grain_LowN	LowN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0202FG3R0718176975	71817	Root	CentralCity	Rep2	Plot2	HighN	G3	Btx642	Plate79	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0202LG3R0718176954	71817	Root	CentralCity	Rep2	Plot2	LowN	G3	Btx642	Plate80	LowN_G3	G3_LowN	Grain	Grain_LowN	LowN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0302FG3R0718176996	71817	Root	CentralCity	Rep3	Plot2	HighN	G3	Btx642	Plate82	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0401FG3R0718177062	71817	Root	CentralCity	Rep4	Plot1	HighN	G3	Btx642	Plate79	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0401LG3R0718177038	71817	Root	CentralCity	Rep4	Plot1	LowN	G3	Btx642	Plate88	LowN_G3	G3_LowN	Grain	Grain_LowN	LowN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0502FG3R0718177086	71817	Root	CentralCity	Rep5	Plot2	HighN	G3	Btx642	Plate85	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0502LG3R0718177107	71817	Root	CentralCity	Rep5	Plot2	LowN	G3	Btx642	Plate83	LowN_G3	G3_LowN	Grain	Grain_LowN	LowN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0601FG3R0718177128	71817	Root	CentralCity	Rep6	Plot1	HighN	G3	Btx642	Plate87	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0601LG3R0718177149	71817	Root	CentralCity	Rep6	Plot1	LowN	G3	Btx642	Plate79	LowN_G3	G3_LowN	Grain	Grain_LowN	LowN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0701FG3R0718177194	71817	Root	CentralCity	Rep7	Plot1	HighN	G3	Btx642	Plate81	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0701LG3R0718177170	71817	Root	CentralCity	Rep7	Plot1	LowN	G3	Btx642	Plate81	LowN_G3	G3_LowN	Grain	Grain_LowN	LowN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0801FG3R0718177218	71817	Root	CentralCity	Rep8	Plot1	HighN	G3	Btx642	Plate82	HighN_G3	G3_HighN	Grain	Grain_HighN	HighN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0801LG3R0718177239	71817	Root	CentralCity	Rep8	Plot1	LowN	G3	Btx642	Plate84	LowN_G3	G3_LowN	Grain	Grain_LowN	LowN_Grain	Caudatum	Not_applicable	Sensitive	Caudatum
CC0103LS10R0718176913	71817	Root	CentralCity	Rep1	Plot3	LowN	S10	China17	Plate88	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0206LS10R0718176957	71817	Root	CentralCity	Rep2	Plot6	LowN	S10	China17	Plate86	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0304LS10R0718177018	71817	Root	CentralCity	Rep3	Plot4	LowN	S10	China17	Plate84	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0405FS10R0718177066	71817	Root	CentralCity	Rep4	Plot5	HighN	S10	China17	Plate88	HighN_S10	S10_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0405LS10R0718177042	71817	Root	CentralCity	Rep4	Plot5	LowN	S10	China17	Plate79	LowN_S10	S10_LowN	Sweet	Sweet_LowN	LowN_Sweet	Bicolor	F7	Sensitive	Bicolor
CC0504FS10R0718177088	71817	Root	CentralCity	Rep5	Plot4	HighN	S10	China17	Plate86	HighN_S10	S10_HighN	Sweet	Sweet_HighN	HighN_Sweet	Bicolor	F7	Sensitive	Bicolor
